English,Sinhala
Exemptions for data processing,දත්ත සැකසීම සඳහා විශේෂ ව්‍යවස්ථා
Establishment of data protection board,දත්ත ආරක්ෂණ මණ්ඩලය පිහිටුවීම
Powers and functions of the board,මණ්ඩලයේ බලතල සහ කාර්යයන්
Appeal to appellate tribunal,අභියාචනා මණ්ඩලයට යොමු වීම
Voluntary undertaking by organisation,සංවිධානයේ ස්වේච්ඡා වගකීම
Imposition of monetary penalties,මුදල් දඩය පැනවීම
Information we collect,අපි එකතු කරන තොරතුරු
User activity information,පරිශීලක ක්‍රියාකාරකම් තොරතුරු
Device and browser information,උපාංග සහ බ්‍රවුසර තොරතුරු
Location based information,ස්ථාන පදනම් තොරතුරු
Content created by users,පරිශීලකයන් විසින් නිර්මාණය කරන අන්තර්ගතය
Personalized services,පුද්ගලීකරණ සේවා
Personalized advertisements,පුද්ගලීකරණ ප්‍රචාරණ
Security and protection measures,ආරක්ෂණ ක්‍රියාමාර්ග
Data collection technologies,දත්ත එකතු කිරීමේ තාක්ෂණ
Use of cookies and storage,කුකී සහ ගබඩා භාවිතය
Sharing of information,තොරතුරු බෙදාහැරීම
Fraud and abuse prevention,වංචා සහ අනිසි භාවිත වැළැක්වීම
System performance measurement,පද්ධති කාර්ය සාධන මාපනය
Activity controls settings,ක්‍රියාකාරකම් පාලන සැකසුම්
Privacy settings management,පෞද්ගලිකත්ව සැකසුම් කළමනාකරණය
Exporting user data,පරිශීලක දත්ත අපනයනය
Deleting user information,පරිශීලක තොරතුරු මකාදැමීම
Publicly shared information,මහජන ලෙස බෙදාගත් තොරතුරු
Account management tools,ගිණුම් කළමනාකරණ මෙවලම්
Security features implementation,ආරක්ෂණ විශේෂාංග ක්‍රියාත්මක කිරීම
Unauthorized access prevention,අනවසර ප්‍රවේශ වැළැක්වීම
User profile information,පරිශීලක පැතිකඩ තොරතුරු
Interaction with content,අන්තර්ගත සමඟ අන්තර්ක්‍රියාව
Device related information,උපාංගයට සම්බන්ධ තොරතුරු
Location related information,ස්ථානයට සම්බන්ධ තොරතුරු
Network connection information,ජාල සම්බන්ධතා තොරතුරු
Use of integrated partners,එකාබද්ධ හවුල්කරුවන් භාවිතය
Sharing with third parties,තෙවන පාර්ශවයන් සමඟ බෙදාගැනීම
Personalized content delivery,පුද්ගලීකරණ අන්තර්ගත සැපයීම
Ad targeting and personalization,ප්‍රචාරණ ඉලක්කකරණය සහ පුද්ගලීකරණය
Account linking across services,සේවා අතර ගිණුම් සම්බන්ධ කිරීම
Security and integrity protection,ආරක්ෂාව සහ අඛණ්ඩතාව ආරක්ෂා කිරීම
Detection of harmful behavior,හානිකර හැසිරීම් හඳුනාගැනීම
Compliance with legal obligations,නීතිමය බැඳීම් පිළිපැදීම
Response to legal requests,නීතිමය ඉල්ලීම්ට ප්‍රතිචාර
Data retention decision factors,දත්ත රඳවාගැනීමේ තීරණ කරුණු
Anonymization of user data,පරිශීලක දත්ත අනාමික කිරීම
Aggregated data analysis,සංග්‍රහිත දත්ත විශ්ලේෂණය
Business analytics services,ව්‍යාපාරික විශ්ලේෂණ සේවා
Marketing communications delivery,වෙළඳ ප්‍රචාරණ සන්නිවේදනය
Research and innovation purposes,පර්යේෂණ සහ නවෝත්පාදන අරමුණු
Collection of customer information,ගනුදෙනුකරුවන්ගේ තොරතුරු එකතු කිරීම
Processing of personal information,පුද්ගලික තොරතුරු සැකසීම
Automatic data collection,ස්වයංක්‍රීය දත්ත එකතු කිරීම
Information from other sources,වෙනත් මූලාශ්‍ර වලින් ලැබෙන තොරතුරු
Payment processing system,ගෙවීම් සැකසීමේ පද්ධතිය
Order management process,ඇණවුම් කළමනාකරණ ක්‍රියාවලිය
Personalized recommendations system,පුද්ගලීකරණ නිර්දේශ පද්ධතිය
Interest based advertising,ආසක්ති පදනම් ප්‍රචාරණය
Fraud prevention mechanisms,වංචා වැළැක්වීමේ ක්‍රම
Credit risk assessment,ණය අවදානම් ඇගයීම
Communication with customers,ගනුදෙනුකරුවන් සමඟ සන්නිවේදනය
Third party service providers,තෙවන පාර්ශව සේවා සපයන්නන්
Business transfer transactions,ව්‍යාපාර මාරු ගනුදෙනු
Legal compliance requirements,නීතිමය අනුකූලතා අවශ්‍යතා
Security protection measures,ආරක්ෂණ ක්‍රියාමාර්ග
Encryption during data transmission,දත්ත ප්‍රේෂණයේදී සංකේතනය
Customer account information,ගනුදෙනුකරුගේ ගිණුම් තොරතුරු
Access to account settings,ගිණුම් සැකසුම් වෙත ප්‍රවේශය
Advertising identifier usage,ප්‍රචාරණ හඳුනාගැනීමේ භාවිතය
Children data protection rules,ළමා දත්ත ආරක්ෂණ නීති
User preference settings,පරිශීලක අභිරුචි සැකසුම්
Device and browser data,උපාංග සහ බ්‍රවුසර දත්ත
Cookie and identifier usage,කුකී සහ හඳුනාගැනීම් භාවිතය
Platform user information,වේදිකා පරිශීලක තොරතුරු
Buyer and seller interaction,මිලදී ගන්නා හා විකුණුම්කරු අන්තර්ක්‍රියාව
Verification of account registration,ගිණුම් ලියාපදිංචිය සත්‍යාපනය
Customer complaint handling,ගනුදෙනුකරු පැමිණිලි කළමනාකරණය
Dispute resolution process,විවාද විසඳීමේ ක්‍රියාවලිය
Browsing and transaction activity,සෙවීම සහ ගනුදෙනු ක්‍රියාකාරකම්
Device and usage information,උපාංග හා භාවිත තොරතුරු
Third party verification services,තෙවන පාර්ශව සත්‍යාපන සේවා
Fraud and money laundering checks,වංචා සහ මුදල් පිරිසිදු කිරීම පරීක්ෂණ
Know your customer procedures,ගනුදෙනුකරු හඳුනාගැනීමේ ක්‍රියාවලිය
Marketing and advertising partners,වෙළඳ ප්‍රචාරණ හවුල්කරුවන්
Payment processing providers,ගෙවීම් සැකසීමේ සේවා සපයන්නන්
Logistics and delivery partners,ප්‍රවාහන සහ භාරදීම හවුල්කරුවන්
Data retention policies,දත්ත රඳවා තබාගැනීමේ ප්‍රතිපත්ති
Legal compliance obligations,නීතිමය අනුකූලතා බැඳීම්
International data transfers,අන්තර්ජාතික දත්ත මාරු
User data anonymization process,පරිශීලක දත්ත අනාමික කිරීම
Cookie tracking technologies,කුකී අනුගමන තාක්ෂණ
Session and persistent cookies,සැසි සහ ස්ථිර කුකී
Data subject rights request,දත්ත හිමිකරුගේ ඉල්ලීම්
Restriction of data processing,දත්ත සැකසීම සීමා කිරීම
Opt out of marketing communication,වෙළඳ ප්‍රචාරණයෙන් ඉවත් වීම
Platform user registration,වේදිකා පරිශීලක ලියාපදිංචිය
Account administration process,ගිණුම් කළමනාකරණ ක්‍රියාවලිය
Purchase and delivery services,මිලදී ගැනීම සහ භාරදීම සේවා
Logistics and warehousing services,ප්‍රවාහන සහ ගබඩා සේවා
Customs clearance processing,කස්ටම්ස් නිදහස් කිරීමේ ක්‍රියාවලිය
Customer service support,ගනුදෙනුකරු සහාය සේවා
Feedback and dispute management,ප්‍රතිචාර සහ විවාද කළමනාකරණය
Communication between users,පරිශීලකයන් අතර සන්නිවේදනය
Voice and image processing services,ශබ්ද සහ රූප සැකසීමේ සේවා
Content stored on devices,උපාංගවල සුරකින අන්තර්ගතය
Recommendation and personalization,නිර්දේශ සහ පුද්ගලීකරණය
Marketing and advertising services,වෙළඳ ප්‍රචාරණ සේවා
Browsing and activity tracking,සෙවීම සහ ක්‍රියාකාරකම් නිරීක්ෂණය
Research and statistical analysis,පර්යේෂණ සහ සංඛ්‍යාත්මක විශ්ලේෂණය
Fraud detection and prevention,වංචා හඳුනාගැනීම සහ වැළැක්වීම
Credit risk assessment process,ණය අවදානම් ඇගයීමේ ක්‍රියාවලිය
Identity verification procedures,හැඳුනුම් සත්‍යාපන ක්‍රියාවලිය
Anti money laundering checks,මුදල් පිරිසිදු කිරීම වැළැක්වීමේ පරීක්ෂණ
Data sharing with third parties,තෙවන පාර්ශව සමඟ දත්ත බෙදාගැනීම
Cloud storage services,වලාකුළු ගබඩා සේවා
Instant messaging services,ක්ෂණික පණිවිඩ සේවා
Data protection rights request,දත්ත ආරක්ෂණ අයිතිවාසිකම් ඉල්ලීම
Personal data processing purposes,පුද්ගලික දත්ත සැකසීමේ අරමුණු
Legal basis for processing,සැකසීම සඳහා නීතිමය පදනම
Performance of a contract,ගිවිසුමක් ක්‍රියාත්මක කිරීම
Legitimate interest processing,සාධාරණ රුචිය මත සැකසීම
User rights over personal data,පුද්ගලික දත්ත පිළිබඳ පරිශීලක අයිතිවාසිකම්
Access and correction rights,ප්‍රවේශ සහ නිවැරදි කිරීමේ අයිතිය
Deletion and portability rights,මකා දැමීම සහ මාරු කිරීමේ අයිතිය
Objection to data processing,දත්ත සැකසීමට විරුද්ධ වීම
International data processing,අන්තර්ජාතික දත්ත සැකසීම
Data retention determination,දත්ත රඳවා තබාගැනීමේ තීරණය
Machine learning applications,යන්ත්‍ර ඉගෙනීමේ භාවිතය
Cookie and tracking technologies,කුකී සහ අනුගමන තාක්ෂණ
Data protection request portal,දත්ත ආරක්ෂණ ඉල්ලීම් පෝර්ටල්
Privacy complaint handling,පෞද්ගලිකත්ව පැමිණිලි කළමනාකරණය
Basic personal identifiers,මූලික පුද්ගලික හඳුනාගැනීමේ දත්ත
Device and online identifiers,උපාංග සහ අන්තර්ජාල හඳුනාගැනීම්
Network activity information,ජාල ක්‍රියාකාරකම් තොරතුරු
Commercial transaction information,ව්‍යාපාරික ගනුදෙනු තොරතුරු
Communication content data,සන්නිවේදන අන්තර්ගත දත්ත
Demographic profile information,ජනගණන පැතිකඩ තොරතුරු
Financial account information,මුල්‍ය ගිණුම් තොරතුරු
Biometric identification data,ජීව විද්‍යාත්මක හඳුනාගැනීමේ දත්ත
Precise geolocation data,නිශ්චිත භූ-ස්ථාන දත්ත
Sensory data collection,ඉන්ද්‍රිය දත්ත එකතු කිරීම
Behavioral inference data,හැසිරීම් අනුමාන දත්ත
Customer transaction processing,ගනුදෙනුකරු ගනුදෙනු සැකසීම
Order fulfillment services,ඇණවුම් සම්පූර්ණ කිරීමේ සේවා
Advertising and marketing services,ප්‍රචාරණ සහ වෙළඳ සේවා
Fraud detection mechanisms,වංචා හඳුනාගැනීමේ ක්‍රම
Security and integrity measures,ආරක්ෂණ සහ අඛණ්ඩතා ක්‍රියාමාර්ග
Data combination from sources,විවිධ මූලාශ්‍ර වලින් දත්ත එකතු කිරීම
Vendor service operations,විකුණුම්කරුවන්ගේ සේවා ක්‍රියාකාරකම්
Targeted advertising delivery,ලක්ෂ්‍යගත ප්‍රචාරණ සැපයීම
Cross platform data usage,වේදිකා අතර දත්ත භාවිතය
Automated data collection,ස්වයංක්‍රීය දත්ත එකතු කිරීම
Camera and sensor access,කැමරා සහ සෙන්සර් ප්‍රවේශය
Content and communication data,අන්තර්ගත සහ සන්නිවේදන දත්ත
User generated information,පරිශීලක නිර්මාණ දත්ත
Network and connection data,ජාල සහ සම්බන්ධතා දත්ත
Usage activity patterns,භාවිත ක්‍රියාකාරකම් රටා
Transaction and payment data,ගනුදෙනු සහ ගෙවීම් දත්ත
Device and system information,උපාංග සහ පද්ධති තොරතුරු
Device behavior tracking,උපාංග හැසිරීම් නිරීක්ෂණය
Cross device data integration,උපාංග අතර දත්ත ඒකාබද්ධ කිරීම
Location related signals,ස්ථානය සම්බන්ධ සංඥා
Partner provided data,හවුල්කරුවන් විසින් ලබාදෙන දත්ත
Advertising interaction data,ප්‍රචාරණ අන්තර්ක්‍රියා දත්ත
Analytics and measurement services,විශ්ලේෂණ සහ මාපන සේවා
Security and fraud detection,ආරක්ෂාව සහ වංචා හඳුනාගැනීම
Product personalization process,සේවා පුද්ගලීකරණ ක්‍රියාවලිය
Cross platform personalization,වේදිකා අතර පුද්ගලීකරණය
Research and innovation activities,පර්යේෂණ සහ නවෝත්පාදන ක්‍රියාකාරකම්
Data sharing with partners,හවුල්කරුවන් සමඟ දත්ත බෙදාගැනීම
Legal compliance and enforcement,නීතිමය අනුකූලතාව සහ ක්‍රියාත්මක කිරීම
Public information visibility,මහජන දත්ත දෘශ්‍යතාව
Third party application access,තෙවන පාර්ශව යෙදුම් ප්‍රවේශය
End to end encrypted communication,අන්ත සිට අන්ත දක්වා ගුප්තකේතනය කළ සන්නිවේදනය
Temporary message storage,තාවකාලික පණිවිඩ ගබඩා කිරීම
Encrypted media transfer,ගුප්තකේතනය කළ මාධ්‍ය මාරු කිරීම
Live location sharing feature,සජීවී ස්ථානය බෙදාගැනීමේ විශේෂාංගය
Contact synchronization process,සම්බන්ධතා සමමුහුර්ත ක්‍රියාවලිය
Group and community management,සමූහ සහ ප්‍රජා කළමනාකරණය
Customer support communication,පාරිභෝගික සහාය සන්නිවේදනය
Account verification process,ගිණුම් සත්‍යාපන ක්‍රියාවලිය
Two step authentication system,දෙ-පියවර සත්‍යාපන පද්ධතිය
Device and connection details,උපාංග සහ සම්බන්ධතා විස්තර
Usage and activity tracking,භාවිත සහ ක්‍රියාකාරකම් නිරීක්ෂණය
Log and diagnostic data collection,ලොග් සහ දෝෂ විශ්ලේෂණ දත්ත එකතු කිරීම
General location estimation,සාමාන්‍ය ස්ථාන ඇස්තමේන්තුව
User privacy settings control,පරිශීලක පෞද්ගලිකත්ව සැකසුම් පාලනය
Third party service integration,තෙවන පාර්ශව සේවා ඒකාබද්ධ කිරීම
Business communication services,ව්‍යාපාරික සන්නිවේදන සේවා
Legal compliance processing,නීතිමය අනුකූලතා සැකසීම
Security and abuse prevention,ආරක්ෂාව සහ අපයෝජන වැළැක්වීම
Data retention management,දත්ත රඳවා තබාගැනීමේ කළමනාකරණය
Professional networking platform,වෘත්තීය සම්බන්ධතා වේදිකාව
Job and career opportunities,රැකියා සහ වෘත්තීය අවස්ථා
Content sharing and posting,අන්තර්ගත බෙදාගැනීම සහ ප්‍රකාශනය
Connection and interaction data,සම්බන්ධතා සහ අන්තර්ක්‍රියා දත්ත
Calendar and contact synchronization,දිනදර්ශන සහ සම්බන්ධතා සමමුහුර්තය
Personalized content recommendation,පුද්ගලීකරණ අන්තර්ගත යෝජනා
AI model training process,AI ආකෘති පුහුණු කිරීම
User activity tracking,පරිශීලක ක්‍රියාකාරකම් නිරීක්ෂණය
Location based services,ස්ථානය මත පදනම් සේවා
Communication and messaging data,සන්නිවේදන සහ පණිවිඩ දත්ත
Premium subscription services,ප්‍රිමියම් දායකත්ව සේවා
Advertising performance measurement,ප්‍රචාරණ ක්‍රියාකාරිත්ව මිනුම්
Business analytics insights,ව්‍යාපාරික විශ්ලේෂණ දත්ත
Security and fraud prevention,ආරක්ෂාව සහ වංචා වැළැක්වීම
Cross platform data sharing,වේදිකා අතර දත්ත බෙදාගැනීම
User data control settings,පරිශීලක දත්ත පාලන සැකසුම්
Personal data collection process,පුද්ගලික දත්ත එකතු කිරීමේ ක්‍රියාවලිය
Identification and contact details,හඳුනාගැනීම සහ සම්බන්ධතා විස්තර
Financial and transaction information,මුල්‍ය සහ ගනුදෙනු තොරතුරු
Technical and usage data,තාක්ෂණික සහ භාවිත දත්ත
Marketing communication preferences,වෙළඳ සන්නිවේදන අභිරුචි
Sensitive personal data processing,සංවේදී පුද්ගලික දත්ත සැකසීම
Biometric identification information,ජීව විද්‍යාත්මක හඳුනාගැනීමේ දත්ත
Health related personal data,සෞඛ්‍ය සම්බන්ධ දත්ත
Child personal data protection,ළමා දත්ත ආරක්ෂාව
Direct interaction data collection,සෘජු අන්තර්ක්‍රියා මගින් දත්ත එකතු කිරීම
Automated data collection technologies,ස්වයංක්‍රීය දත්ත එකතු කිරීමේ තාක්ෂණ
Third party data sources,තෙවන පාර්ශව දත්ත මූලාශ්‍ර
Customer relationship management,ගනුදෙනුකරු සම්බන්ධතා කළමනාකරණය
Marketing and promotional activities,වෙළඳ සහ ප්‍රවර්ධන ක්‍රියාකාරකම්
Security and fraud detection measures,ආරක්ෂාව සහ වංචා හඳුනාගැනීමේ ක්‍රියාමාර්ග
Anti money laundering compliance,මුදල් පිරිසිදු කිරීම වැළැක්වීමේ අනුකූලතාව
Internal operational purposes,අභ්‍යන්තර මෙහෙයුම් අරමුණු
Regulatory and law enforcement bodies,නියාමන සහ නීති ක්‍රියාත්මක ආයතන
Credit reference agency sharing,ණය තොරතුරු ආයතන සමඟ බෙදාගැනීම
Data security control measures,දත්ත ආරක්ෂණ පාලන ක්‍රියාමාර්ග
Personal data breach notification,දත්ත කඩාවැටීම් දැනුම්දීම
Data retention policy determination,දත්ත රඳවා තබාගැනීමේ ප්‍රතිපත්තිය
Legal and regulatory requirements,නීතිමය සහ නියාමන අවශ්‍යතා
Personal identifiable information definition,පුද්ගලික හඳුනාගත හැකි දත්ත నిర్వචනය
Sensitive personal data categories,සංවේදී පුද්ගලික දත්ත වර්ග
Customer identification details,ගනුදෙනුකරු හඳුනාගැනීමේ විස්තර
Financial and credit information,මුල්‍ය සහ ණය තොරතුරු
Technical device information,තාක්ෂණික උපාංග තොරතුරු
Customer preferences and feedback,ගනුදෙනුකරු අභිරුචි සහ ප්‍රතිචාර
Identity verification process,හැඳුනුම් සත්‍යාපන ක්‍රියාවලිය
Transaction and payment processing,ගනුදෙනු සහ ගෙවීම් සැකසීම
Customer communication management,ගනුදෙනුකරු සන්නිවේදන කළමනාකරණය
Market research and analysis,වෙළඳ පර්යේෂණ සහ විශ්ලේෂණය
Legal and regulatory compliance,නීතිමය සහ නියාමන අනුකූලතාව
Fraud prevention activities,වංචා වැළැක්වීමේ ක්‍රියාකාරකම්
Third party data sharing,තෙවන පාර්ශව සමඟ දත්ත බෙදාගැනීම
Service provider operations,සේවා සපයන්නන්ගේ ක්‍රියාකාරකම්
Government and regulatory disclosure,රාජ්‍ය සහ නියාමන හෙළිදරව්
Data protection measures implementation,දත්ත ආරක්ෂණ ක්‍රියාමාර්ග ක්‍රියාත්මක කිරීම
Access restriction controls,ප්‍රවේශ සීමා පාලනය
Data retention and deletion policy,දත්ත රඳවා තබාගැනීම සහ මකාදැමීමේ ප්‍රතිපත්තිය
Mobile application data collection,ජංගම යෙදුම් දත්ත එකතු කිරීම
Contact list data usage,සම්බන්ධතා ලැයිස්තු දත්ත භාවිතය
Image data processing,රූප දත්ත සැකසීම
Regulatory data retention requirements,නියාමන දත්ත රඳවා තබාගැනීමේ අවශ්‍යතා
Regulation of personal data processing,පුද්ගලික දත්ත සැකසීම නියාමනය කිරීම
Strengthening of data subject rights,දත්ත හිමිකරුගේ අයිතිවාසිකම් ශක්තිමත් කිරීම
Establishment of data protection authority,දත්ත ආරක්ෂණ අධිකාරිය පිහිටුවීම
Protection of personal data rights,පුද්ගලික දත්ත අයිතිවාසිකම් ආරක්ෂාව
Growth of digital economy,ඩිජිටල් ආර්ථිකයේ වර්ධනය
Innovation in digital economy,ඩිජිටල් ආර්ථිකයේ නවෝත්පාදනය
Interoperability among protection frameworks,ආරක්ෂණ රාමු අතර අන්තර්ක්‍රියාකාරීත්වය
Cross border enforcement cooperation,දේශසීමා හරහා බලපැවැත්වීමේ සහයෝගීතාව
Safeguarding of privacy,පෞද්ගලිකත්වය ආරක්ෂා කිරීම
Respect for written laws,ලිඛිත නීතිවලට ගරු කිරීම
Application of the Act,පනතේ අදාළ වීම
Processing within Sri Lanka,ශ්‍රී ලංකාව තුළ දත්ත සැකසීම
Processing outside Sri Lanka,ශ්‍රී ලංකාවෙන් පිටත දත්ත සැකසීම
Targeting of data subjects,දත්ත හිමිකරුවන් ඉලක්ක කිරීම
Monitoring of data subject behaviour,දත්ත හිමිකරුගේ හැසිරීම නිරීක්ෂණය කිරීම
Processing for household purposes,ගෘහස්ථ අරමුණු සඳහා දත්ත සැකසීම
Processing of non personal data,පුද්ගලික නොවන දත්ත සැකසීම
Prevailing effect of the Act,පනතේ බලපැවැත්වීමේ ප්‍රමුඛතාව
Compliance with protection obligations,ආරක්ෂණ වගකීම්වලට අනුකූල වීම
Lawful basis of processing,දත්ත සැකසීමේ නීතිමය පදනම
Processing of special categories,විශේෂ ප්‍රභේදවල දත්ත සැකසීම
Processing for criminal investigations,අපරාධ විමර්ශන සඳහා දත්ත සැකසීම
Definition of processing purpose,දත්ත සැකසීමේ අරමුණ නිර්වචනය කිරීම
Specified and explicit purpose,නිශ්චිත සහ පැහැදිලි අරමුණ
Legitimate purpose of processing,නීත්‍යානුකූල සැකසුම් අරමුණ
Incompatible further processing,නොගැළපෙන අතිරේක සැකසීම
Historical research purpose,ඓතිහාසික පර්යේෂණ අරමුණ
Adequate and relevant data,ප්‍රමාණවත් සහ අදාළ දත්ත
Proportionate data processing,සමානුපාතික දත්ත සැකසීම
Accuracy of personal data,පුද්ගලික දත්තවල නිවැරදිභාවය
Updating of personal data,පුද්ගලික දත්ත යාවත්කාලීන කිරීම
Rectification of inaccurate data,වැරදි දත්ත නිවැරදි කිරීම
Erasure of outdated data,යාවත්කාලීන නොවූ දත්ත මකාදැමීම
Retention in identifiable form,හඳුනාගත හැකි ආකාරයෙන් රඳවා තබාගැනීම
Longer retention for research,පර්යේෂණ සඳහා දිගු කාලීන රඳවා තබාගැනීම
Integrity of personal data,පුද්ගලික දත්තවල අඛණ්ඩතාව
Confidentiality of personal data,පුද්ගලික දත්තවල රහස්‍යභාවය
Use of encryption measures,සංකේතන ක්‍රියාමාර්ග භාවිතය
Use of pseudonymisation measures,අර්ධ නාමිකරණ ක්‍රියාමාර්ග භාවිතය
Use of anonymisation measures,අනාමිකරණ ක්‍රියාමාර්ග භාවිතය
Use of access controls,ප්‍රවේශ පාලන භාවිතය
Prevention of unlawful processing,නීතිවිරෝධී සැකසීම වැළැක්වීම
Prevention of data loss,දත්ත නැතිවීම වැළැක්වීම
Prevention of data destruction,දත්ත විනාශය වැළැක්වීම
Prevention of data damage,දත්ත හානිවීම වැළැක්වීම
Transparent processing of data,දත්ත පාරදෘශ්‍ය ලෙස සැකසීම
Information in written form,ලිඛිත ආකාරයෙන් තොරතුරු
Information by electronic means,විද්‍යුත් මාධ්‍යයෙන් තොරතුරු
Concise and transparent form,සංක්ෂිප්ත සහ පාරදෘශ්‍ය ආකෘතිය
Intelligible and accessible form,තේරුම්ගත හැකි සහ ප්‍රවේශ විය හැකි ආකෘතිය
Implementation of internal controls,අභ්‍යන්තර පාලන ක්‍රියාත්මක කිරීම
Data protection management programme,දත්ත ආරක්ෂණ කළමනාකරණ වැඩසටහන
Maintenance of catalogued records,නාමාවලීගත වාර්තා පවත්වාගෙන යාම
Structure of processing activities,සැකසුම් ක්‍රියාකාරකම්වල ව්‍යුහය
Scale of processing activities,සැකසුම් ක්‍රියාකාරකම්වල පරිමාණය
Volume of processing activities,සැකසුම් ක්‍රියාකාරකම්වල ප්‍රමාණය
Sensitivity of processing activities,සැකසුම් ක්‍රියාකාරකම්වල සංවේදීභාවය
Integration into governance structure,පාලන ව්‍යුහයට ඒකාබද්ධ කිරීම
Establishment of oversight mechanisms,අධීක්ෂණ යන්ත්‍රණ පිහිටුවීම
Receipt of complaints,පැමිණිලි භාරගැනීම
Conduct of inquiries,විමර්ශන පැවැත්වීම
Identification of data breaches,දත්ත උල්ලංඝන හඳුනාගැනීම
Updating through monitoring,නිරීක්ෂණය මගින් යාවත්කාලීන කිරීම
Facilitation of rights exercise,අයිතිවාසිකම් ක්‍රියාත්මක කිරීමට පහසුකම් සැලසීම
Access confirmation request,ප්‍රවේශ තහවුරු කිරීමේ ඉල්ලීම
Information under schedule five,පස්වන උපලේඛනය යටතේ තොරතුරු
Withdrawal of data consent,දත්ත අනුමැතිය ඉවත් කිරීම
Objection to further processing,අතිරේක සැකසීමට විරෝධය දැක්වීම
Request to refrain processing,සැකසීමෙන් වැළකී සිටීමට ඉල්ලීම
Rectification of personal data,පුද්ගලික දත්ත නිවැරදි කිරීම
Completion of incomplete data,අසම්පූර්ණ දත්ත සම්පූර්ණ කිරීම
Erasure request by data subject,දත්ත හිමිකරුගේ මකාදැමීමේ ඉල්ලීම
Contravention of obligations,වගකීම් උල්ලංඝනය කිරීම
Granting of data request,දත්ත ඉල්ලීම අනුමත කිරීම
Refusal of data request,දත්ත ඉල්ලීම ප්‍රතික්ෂේප කිරීම
Recording reasons for refusal,ප්‍රතික්ෂේප හේතු වාර්තා කිරීම
Submission of refusal records,ප්‍රතික්ෂේප වාර්තා ඉදිරිපත් කිරීම
Establishment of data subject identity,දත්ත හිමිකරුගේ අනන්‍යතාව තහවුරු කිරීම
Request for additional information,අතිරේක තොරතුරු ඉල්ලීම
Exercise by legal guardian,නීත්‍යානුකූල භාරකරු විසින් ක්‍රියාත්මක කිරීම
Exercise by authorized person,අවසරලත් පුද්ගලයෙකු විසින් ක්‍රියාත්මක කිරීම
Exercise by heir,උරුමකරුවෙකු විසින් ක්‍රියාත්මක කිරීම
Impact on rights and freedoms,අයිතිවාසිකම් සහ නිදහසට බලපෑම
Decision based on consent,අනුමැතිය මත පදනම් වූ තීරණය
Decision necessary for contract,ගිවිසුම සඳහා අවශ්‍ය තීරණය
Safeguarding rights and freedoms,අයිතිවාසිකම් සහ නිදහස ආරක්ෂා කිරීම
Appeal against controller decision,පාලකයාගේ තීරණයට එරෙහි අභියාචනය
Determination of appeal,අභියාචනය තීරණය කිරීම
Decision with reasons,හේතු සහිත තීරණය
Effect to authority decision,අධිකාරියේ තීරණය ක්‍රියාත්මක කිරීම
Appeal to Court of Appeal,අභියාචනාධිකරණයට අභියාචනය
Appointment of protection officer,ආරක්ෂණ නිලධාරියා පත් කිරීම
Regular monitoring of data subjects,දත්ත හිමිකරුවන් නිතිපතා නිරීක්ෂණය කිරීම
Processing causing risk of harm,හානි අවදානමක් ඇති කරන සැකසීම
Professional qualifications of officer,නිලධාරියාගේ වෘත්තීය සුදුසුකම්
Technical skills in data protection,දත්ත ආරක්ෂණ තාක්ෂණික කුසලතා
Response to processing incidents,සැකසුම් සිද්ධිවලට ප්‍රතිචාර දැක්වීම
Advice on processing requirements,සැකසුම් අවශ්‍යතා පිළිබඳ උපදෙස්
Capacity building of staff,කාර්ය මණ්ඩල ධාරිතා වර්ධනය
Cooperation with authority directives,අධිකාරියේ නියෝග සමඟ සහයෝගය
Processor on behalf of controller,පාලකයා වෙනුවෙන් සැකසුම්කරු
Written contract with processor,සැකසුම්කරු සමඟ ලිඛිත ගිවිසුම
Subject matter of processing,සැකසීමේ විෂය කරුණ
Duration of processing,සැකසීමේ කාලය
Nature of processing,සැකසීමේ ස්වභාවය
Categories of data subjects,දත්ත හිමිකරුවන්ගේ කාණ්ඩ
Obligations of processor,සැකසුම්කරුගේ වගකීම්
Processing under written instructions,ලිඛිත උපදෙස් යටතේ සැකසීම
Confidentiality of personnel,කාර්ය මණ්ඩල රහස්‍යභාවය
Compliance audits by controller,පාලකයා විසින් අනුකූලතා විගණන
Return of personal data,පුද්ගලික දත්ත ආපසු ලබාදීම
Erasure of existing copies,පවතින පිටපත් මකාදැමීම
Engagement of sub processor,උප සැකසුම්කරු සම්බන්ධ කරගැනීම
Liability for sub processor,උප සැකසුම්කරු සඳහා වගකීම
Notification to the authority,අධිකාරියට දැනුම්දීම
Notification to affected data subject,බලපෑමට ලක්වූ දත්ත හිමිකරුට දැනුම්දීම
Form of breach notification,උල්ලංඝන දැනුම්දීමේ ආකෘතිය
Manner of breach notification,උල්ලංඝන දැනුම්දීමේ ආකාරය
Systematic extensive evaluation,ක්‍රමවත් පුළුල් ඇගයීම
Monitoring of public areas,මහජන ප්‍රවේශ ප්‍රදේශ නිරීක්ෂණය
Monitoring of telecommunication networks,දුරකථන ජාල නිරීක්ෂණය
Assessment before processing,සැකසීමට පෙර ඇගයීම
Impact of intended processing,අපේක්ෂිත සැකසීමේ බලපෑම
Measures to mitigate risk,අවදානම් අවම කිරීමේ ක්‍රියාමාර්ග
Assistance of protection officer,ආරක්ෂණ නිලධාරියාගේ සහාය
Change in methodology,ක්‍රමවේදයේ වෙනස
