English,Sinhala
An information officer shall assist the requester,තොරතුරු නිලධාරියා ඉල්ලුම්කරුට සහාය විය යුතුය
Information may be provided in electronic form,තොරතුරු ඉලෙක්ට්‍රොනික ආකාරයෙන් ලබාදිය හැක
A request may be refused to protect national security,ජාතික ආරක්ෂාව රැකීම සඳහා ඉල්ලීමක් ප්‍රතික්ෂේප කළ හැක
Information relating to personal privacy shall be protected,පුද්ගලිකත්වයට සම්බන්ධ තොරතුරු ආරක්ෂා කළ යුතුය
Public interest may override refusal of information,ජනහිතය මත තොරතුරු ප්‍රතික්ෂේපය ඉක්මවා යා හැක
An appeal may be made against refusal of information,තොරතුරු ප්‍රතික්ෂේපයට එරෙහිව අභියාචනයක් කළ හැක
The Commission shall hear and determine appeals,කොමිසම අභියාචනා විභාග කර තීරණ ගනී
Information officers shall provide reasons for refusal,තොරතුරු නිලධාරීන් ප්‍රතික්ෂේපයට හේතු දක්විය යුතුය
Records shall not be destroyed during pending requests,ඉල්ලීම් පවතින විට වාර්තා විනාශ කළ නොහැක
Public authorities shall publish reports periodically,රාජ්‍ය ආයතන වාරිකව වාර්තා ප්‍රකාශ කළ යුතුය
Any person providing false information commits an offence,අසත්‍ය තොරතුරු ලබාදීම අපරාධයක් වේ
Information shall be disclosed unless exempted by law,නීතියෙන් වෙන් කර නොමැතිනම් තොරතුරු හෙළි කළ යුතුය
The Commission may issue guidelines for implementation,කොමිසම ක්‍රියාත්මක කිරීම සඳහා මාර්ගෝපදේශ නිකුත් කළ හැක
Citizens are not required to give reasons for requesting information,තොරතුරු ඉල්ලීමට හේතු දීමට පුරවැසියන්ට අවශ්‍ය නොවේ
Information shall be provided in the requested format where possible,හැකි නම් ඉල්ලූ ආකාරයෙන් තොරතුරු ලබාදිය යුතුය
The author shall have exclusive rights over the work,කර්තෘට කෘතිය පිළිබඳ විශේෂ අයිතිවාසිකම් ඇත
Copyright shall subsist in original works,මූලික කෘති සඳහා ප්‍රකාශන හිමිකම් පවතිනු ඇත
Reproduction of a work without authorization is prohibited,අවසර නොමැතිව කෘතියක් ප්‍රතිනිර්මාණය කිරීම තහනම්ය
The owner may assign or transfer copyright,හිමිකරුට ප්‍රකාශන හිමිකම් පවරා දීමට හෝ මාරු කිරීමට හැක
Any infringement shall be subject to legal action,උල්ලංඝනයක් නීතිමය ක්‍රියාමාර්ගයට ලක් වේ
The court may grant an injunction against infringement,උල්ලංඝනයට එරෙහිව අධිකරණ නියෝගයක් ලබාදිය හැක
Damages may be awarded for copyright infringement,ප්‍රකාශන හිමිකම් උල්ලංඝනය සඳහා හානි පූර්ණය ලබාදිය හැක
Fair use shall not constitute infringement,සාධාරණ භාවිතය උල්ලංඝනයක් ලෙස සැලකෙන්නේ නැත
Industrial designs must be registered for protection,කාර්මික නිර්මාණ ආරක්ෂාව සඳහා ලියාපදිංචි කළ යුතුය
The creator shall be recognized as the owner of the design,නිර්මාතෘ නිර්මාණයේ හිමිකරු ලෙස පිළිගනු ලැබේ
Registration shall grant exclusive rights to the owner,ලියාපදිංචියෙන් හිමිකරුට විශේෂ අයිතිවාසිකම් ලැබේ
Unauthorized use of intellectual property is unlawful,බුද්ධිමය දේපළ අනවසරයෙන් භාවිතා කිරීම නීතිවිරෝධීය
Copyright protection shall extend for a specified period,ප්‍රකාශන හිමිකම් නියමිත කාලයක් සඳහා පවතිනු ඇත
The author has the right to object to modifications,කර්තෘට වෙනස්කම්වලට විරෝධය දැක්වීමට අයිතිය ඇත
Licences shall be granted in writing,අවසර ලිඛිතව ලබාදිය යුතුය
A person who infringes rights shall be liable for penalties,අයිතිවාසිකම් උල්ලංඝනය කරන පුද්ගලයා දඩුවම් ලබයි
The court may order destruction of infringing copies,උල්ලංඝන පිටපත් විනාශ කිරීමට අධිකරණය නියෝග කළ හැක
Economic rights belong to the author or owner,ආර්ථික අයිතිවාසිකම් කර්තෘට හෝ හිමිකරුට අයත් වේ
Works shall be protected upon creation,කෘති නිර්මාණය වූ මොහොතේම ආරක්ෂා කරනු ලැබේ
Unauthorized broadcasting of content is prohibited,අවසර නොමැති අන්තර්ගත ප්‍රචාරණය තහනම්ය
A consumer has the right to request deletion of personal information,පාරිභෝගිකයෙකුට තම පුද්ගලික තොරතුරු මකා දැමීම ඉල්ලීමට අයිතිය ඇත
A business must disclose categories of collected data,ව්‍යාපාරය එකතු කරන ලද දත්ත වර්ග හෙළිදරව් කළ යුතුය
Consumers have the right to access their personal data,පාරිභෝගිකයන්ට තම දත්ත වෙත ප්‍රවේශ වීමේ අයිතිය ඇත
A business shall not retain data longer than necessary,අවශ්‍යතාවයට වඩා දත්ත රඳවා තබා ගැනීම නොකළ යුතුය
Consumers can opt out of sale or sharing of personal information,පාරිභෝගිකයන්ට දත්ත විකිණීමෙන් හෝ බෙදාහැරීමෙන් ඉවත් වීමට හැක
Sensitive personal information must be protected,සංවේදී පුද්ගලික තොරතුරු ආරක්ෂා කළ යුතුය
A business must implement reasonable security measures,ව්‍යාපාරය සාධාරණ ආරක්ෂණ ක්‍රියාමාර්ග ක්‍රියාත්මක කළ යුතුය
Consumers have the right to correct inaccurate data,වැරදි දත්ත නිවැරදි කිරීමේ අයිතිය පාරිභෝගිකයාට ඇත
A business must respond to consumer requests within a time period,ව්‍යාපාරය නියමිත කාලයකින් පාරිභෝගික ඉල්ලීම්ට පිළිතුරු දිය යුතුය
A business must notify consumers about data usage,දත්ත භාවිතය පිළිබඳව පාරිභෝගිකයන්ට දැනුම්දිය යුතුය
A consumer has the right to limit use of sensitive information,සංවේදී දත්ත භාවිතය සීමා කිරීමට පාරිභෝගිකයාට අයිතිය ඇත
Businesses must ensure data security and integrity,ව්‍යාපාර දත්ත ආරක්ෂාව සහ විශ්වාසනීයතාවය තහවුරු කළ යුතුය
Consumers must not be discriminated against for exercising rights,අයිතිවාසිකම් භාවිතා කිරීම නිසා පාරිභෝගිකයන්ට වෙනස්කම් නොකළ යුතුය
A business must provide clear privacy notices,ව්‍යාපාරය පැහැදිලි පෞද්ගලිකත්ව දැනුම්දීමක් ලබාදිය යුතුය
Third parties must comply with privacy obligations,තෙවන පාර්ශවයන් පෞද්ගලිකත්ව නීති පිළිපැදිය යුතුය
Data collection must be proportionate to its purpose,දත්ත එකතු කිරීම එහි අරමුණට අනුව සීමා විය යුතුය
A business must inform consumers before collecting data,දත්ත එකතු කිරීමට පෙර පාරිභෝගිකයාට දැනුම් දිය යුතුය
Personal information must not be used for incompatible purposes,අසම්බන්ධ අරමුණු සඳහා දත්ත භාවිතා නොකළ යුතුය
A business must allow consumers to submit requests easily,පාරිභෝගික ඉල්ලීම් පහසුවෙන් ඉදිරිපත් කිරීමට අවසර දිය යුතුය
Consumers have the right to know data sources and purposes,දත්ත මූලාශ්‍ර සහ අරමුණු දැනගැනීමට පාරිභෝගිකයාට අයිතිය ඇත
Personal data must be processed lawfully and fairly,පුද්ගලික දත්ත නීතිමය හා සාධාරණ ලෙස සැකසිය යුතුය
Processing must be based on consent or legal basis,දත්ත සැකසීම අනුමැතිය හෝ නීතිමය පදනම මත සිදු විය යුතුය
Data subjects have the right to access their data,දත්ත හිමිකරුවන්ට තම දත්ත වෙත ප්‍රවේශ වීමේ අයිතිය ඇත
Data subjects can request rectification of inaccurate data,වැරදි දත්ත නිවැරදි කිරීමට දත්ත හිමිකරුට හැක
Data subjects can request erasure of personal data,පුද්ගලික දත්ත මකා දැමීම ඉල්ලීමට හැක
Processing must ensure data security,දත්ත ආරක්ෂාව තහවුරු කළ යුතුය
Data must not be retained longer than necessary,අවශ්‍ය කාලය ඉක්මවා දත්ත රඳවා තබා නොගත යුතුය
Controllers must notify data breaches,දත්ත කඩාවැටීම් පිළිබඳව පාලකයා දැනුම් දිය යුතුය
Processing must be for specified purposes,දත්ත සැකසීම නිශ්චිත අරමුණු සඳහා පමණක් සිදු විය යුතුය
Personal data must be accurate and up to date,දත්ත නිවැරදි සහ යාවත්කාලීන විය යුතුය
Data must be adequate and relevant,දත්ත සරිලන හා සම්බන්ධ විය යුතුය
Automated decisions must include safeguards,ස්වයංක්‍රීය තීරණ සඳහා ආරක්ෂණ තිබිය යුතුය
Sensitive data must be protected with safeguards,සංවේදී දත්ත ආරක්ෂිතව සුරක්ෂිත කළ යුතුය
Controllers must implement data protection measures,පාලකයා දත්ත ආරක්ෂණ ක්‍රියාමාර්ග ක්‍රියාත්මක කළ යුතුය
Individuals must be informed about data processing,දත්ත සැකසීම පිළිබඳව පුද්ගලයාට දැනුම් දිය යුතුය
Processing must be limited to necessary purposes,අවශ්‍ය අරමුණු සඳහා පමණක් දත්ත භාවිතා කළ යුතුය
Personal data must be collected with the consent of the individual,පුද්ගලික දත්ත පුද්ගලයාගේ අනුමැතිය සමඟ එකතු කළ යුතුය
Personal data must be used only for specified purposes,පුද්ගලික දත්ත නියමිත අරමුණු සඳහා පමණක් භාවිතා කළ යුතුය
Organisations must notify individuals of the purpose of data collection,සංවිධාන දත්ත එකතු කිරීමේ අරමුණ පුද්ගලයන්ට දැනුම් දිය යුතුය
Individuals have the right to access their personal data,පුද්ගලයන්ට තම පුද්ගලික දත්ත වෙත ප්‍රවේශ වීමේ අයිතිය ඇත
Individuals can request correction of inaccurate data,වැරදි දත්ත නිවැරදි කිරීමට පුද්ගලයාට ඉල්ලිය හැක
Organisations must ensure the accuracy of personal data,සංවිධාන පුද්ගලික දත්ත නිවැරදි බව තහවුරු කළ යුතුය
Organisations must protect personal data from unauthorized access,අනවසර ප්‍රවේශයෙන් පුද්ගලික දත්ත ආරක්ෂා කළ යුතුය
Personal data must not be retained longer than necessary,අවශ්‍ය කාලය ඉක්මවා දත්ත රඳවා නොගත යුතුය
Organisations must notify data breaches to authorities,දත්ත කඩාවැටීම් පිළිබඳව අධිකාරීන්ට දැනුම් දිය යුතුය
Consent may be withdrawn by the individual at any time,පුද්ගලයාට ඕනෑම වේලාවක අනුමැතිය ඉවත් කළ හැක
Personal data must be processed lawfully and reasonably,පුද්ගලික දත්ත නීතිමය හා සාධාරණ ලෙස සැකසිය යුතුය
Organisations must develop data protection policies,සංවිධාන දත්ත ආරක්ෂණ ප්‍රතිපත්ති සංවර්ධනය කළ යුතුය
Individuals must be informed before collecting personal data,දත්ත එකතු කිරීමට පෙර පුද්ගලයාට දැනුම් දිය යුතුය
Personal data may be transferred under proper safeguards,සුදුසු ආරක්ෂණ යටතේ දත්ත මාරු කළ හැක
Organisations are responsible for personal data under their control,තම පාලනය යටතේ ඇති දත්ත සඳහා සංවිධාන වගකිව යුතුය
Personal data may be processed only for a lawful purpose,පුද්ගලික දත්ත නීතිමය අරමුණක් සඳහා පමණක් සැකසිය හැක
Processing shall be based on consent or legitimate use,දත්ත සැකසීම අනුමැතිය හෝ සාධාරණ භාවිතය මත පදනම් විය යුතුය
"Consent must be free, specific, informed and unambiguous","අනුමැතිය නිදහස්, නිශ්චිත හා පැහැදිලි විය යුතුය"
The data principal has the right to withdraw consent at any time,දත්ත හිමිකරුට ඕනෑම වේලාවක අනුමැතිය ඉවත් කළ හැක
The data fiduciary must provide notice before processing data,දත්ත සැකසීමට පෙර දත්ත භාරකරු දැනුම් දිය යුතුය
Personal data must be erased when no longer necessary,අවශ්‍ය නොවන විට දත්ත මකා දැමිය යුතුය
The data fiduciary shall implement reasonable security safeguards,දත්ත භාරකරු සාධාරණ ආරක්ෂණ ක්‍රියාමාර්ග ක්‍රියාත්මක කළ යුතුය
Data breaches must be notified to the board and affected individuals,දත්ත කඩාවැටීම් මණ්ඩලයට හා පුද්ගලයන්ට දැනුම් දිය යුතුය
Processing of children’s data requires parental consent,ළමා දත්ත සැකසීමට මාපිය අනුමැතිය අවශ්‍ය වේ
The board shall inquire into data breaches and impose penalties,මණ්ඩලය දත්ත කඩාවැටීම් විමර්ශනය කර දඩ පැනවිය යුතුය
The data principal has the right to access information about their data,දත්ත පිළිබඳ තොරතුරු ලබාගැනීමේ අයිතිය දත්ත හිමිකරුට ඇත
The data principal has the right to correction and erasure,දත්ත නිවැරදි කිරීම සහ මකා දැමීමේ අයිතිය ඇත
A data fiduciary must establish a grievance redressal mechanism,දත්ත භාරකරු පැමිණිලි විසඳීමේ ක්‍රමයක් ස්ථාපිත කළ යුතුය
Personal data processing must ensure accuracy and completeness,දත්ත සැකසීම නිවැරදි හා සම්පූර්ණ විය යුතුය
The central government may restrict cross border data transfer,රජය දත්ත විදේශයට මාරු කිරීම සීමා කළ හැක
The board shall function as a digital office,මණ්ඩලය ඩිජිටල් කාර්යාලයක් ලෙස ක්‍රියා කළ යුතුය
Penalties may be imposed for non compliance with the Act,නීතියට අනුකූල නොවීම සඳහා දඩ පැනවිය හැක
We collect information to provide better services to users,පරිශීලකයන්ට වඩා හොඳ සේවා ලබාදීමට අපි තොරතුරු එකතු කරමු
Information collected depends on how users interact with services,තොරතුරු එකතු කිරීම පරිශීලකයන් සේවා භාවිත කරන ආකාරය මත රඳා පවතී
Users may provide personal information when creating an account,ගිණුමක් සෑදීමේදී පරිශීලකයන් පුද්ගලික තොරතුරු ලබාදිය හැක
We collect content created or uploaded by users,පරිශීලකයන් නිර්මාණය කරන හෝ උඩුගත කරන අන්තර්ගත අපි එකතු කරමු
We collect information about devices and applications used,භාවිත කරන උපාංග සහ යෙදුම් පිළිබඳ තොරතුරු අපි එකතු කරමු
We collect user activity information across our services,අපගේ සේවාවන් තුළ පරිශීලක ක්‍රියාකාරකම් තොරතුරු එකතු කරමු
We use data to provide personalized services and recommendations,පුද්ගලීකරණ සේවා සහ නිර්දේශ ලබාදීමට අපි දත්ත භාවිතා කරමු
We use information to improve and develop new services,නව සේවා සංවර්ධනය කිරීමට සහ වැඩිදියුණු කිරීමට දත්ත භාවිතා කරමු
We may show personalized ads based on user activity,පරිශීලක ක්‍රියාකාරකම් මත පදනම්ව පුද්ගලීකරණ ප්‍රචාරණ පෙන්විය හැක
We do not share personal information without user consent,පරිශීලක අනුමැතිය නොමැතිව පුද්ගලික තොරතුරු බෙදා නොහරිමු
We use data to detect and prevent fraud and security risks,වංචා සහ ආරක්ෂණ අවදානම් හඳුනාගැනීමට දත්ත භාවිතා කරමු
Users can control their privacy settings at any time,පරිශීලකයන්ට ඕනෑම වේලාවක පෞද්ගලිකත්ව සැකසුම් පාලනය කළ හැක
Users can review and update their personal information,පරිශීලකයන්ට තම පුද්ගලික තොරතුරු සමාලෝචනය සහ යාවත්කාලීන කළ හැක
Users can delete their data from their accounts,පරිශීලකයන්ට තම ගිණුමෙන් දත්ත මකා දැමිය හැක
We retain data for different periods based on usage and purpose,භාවිතය සහ අරමුණ අනුව දත්ත විවිධ කාල සීමා සඳහා රඳවා තබාගනිමු
We protect user data using security measures such as encryption,සංකේතනය වැනි ආරක්ෂණ ක්‍රම භාවිතා කරමින් දත්ත ආරක්ෂා කරමු
We may share data with partners for processing under strict conditions,කඩිනම් නීති යටතේ පාර්ශවකරුවන් සමඟ දත්ත බෙදාගත හැක
We comply with legal requirements when sharing information,නීතිමය අවශ්‍යතා අනුව තොරතුරු බෙදාහරිමු
Users can export their data for external use,පරිශීලකයන්ට දත්ත අපනයනය කර බාහිර භාවිතයට ගත හැක
We collect information based on how users interact with our products,පරිශීලකයන් සේවාවන් සමඟ අන්තර්ක්‍රියා කරන ආකාරය අනුව අපි තොරතුරු එකතු කරමු
Some information is required for products to function properly,සේවාවන් නිසි ලෙස ක්‍රියා කිරීමට සමහර තොරතුරු අවශ්‍ය වේ
We may use anonymized or aggregated data that does not identify individuals,පුද්ගලයන් හඳුනාගත නොහැකි අනාමික හෝ සංග්‍රහිත දත්ත භාවිතා කළ හැක
We use information to personalize user experience and content,පරිශීලක අත්දැකීම සහ අන්තර්ගත පුද්ගලීකරණය සඳහා දත්ත භාවිතා කරමු
We process information automatically and sometimes manually,දත්ත ස්වයංක්‍රීයව හා කලාතුරකින් අතින් සැකසිය හැක
We use data to improve and develop our products,අපගේ සේවාවන් වැඩිදියුණු කිරීමට සහ සංවර්ධනය කිරීමට දත්ත භාවිතා කරමු
"We use information to promote safety, security and integrity",ආරක්ෂාව සහ අඛණ්ඩතාව ප්‍රවර්ධනය සඳහා දත්ත භාවිතා කරමු
We detect and prevent harmful or unlawful behavior,හානිකර හෝ නීතිවිරෝධී හැසිරීම් හඳුනාගෙන වැළැක්වෙමු
We may share information with partners and service providers,හවුල්කරුවන් සහ සේවා සපයන්නන් සමඟ දත්ත බෙදාගත හැක
We do not sell personal information to third parties,පුද්ගලික දත්ත තෙවන පාර්ශවයන්ට විකිණෙන්නේ නැත
We share information in response to legal requests,නීතිමය ඉල්ලීම්ට ප්‍රතිචාර වශයෙන් දත්ත බෙදාගත හැක
We may transfer information globally across systems,දත්ත ගෝලීය ලෙස පද්ධති අතර මාරු කළ හැක
Users can manage and control their information through settings,පරිශීලකයන්ට සැකසුම් හරහා දත්ත පාලනය කළ හැක
Users can download or delete their information,පරිශීලකයන්ට දත්ත බාගත හෝ මකා දැමිය හැක
We retain information based on purpose and legal obligations,අරමුණ සහ නීතිමය බැඳීම් අනුව දත්ත රඳවා තබාගනිමු
We may keep information longer for safety or legal reasons,ආරක්ෂාව හෝ නීතිමය හේතු සඳහා දත්ත දිගු කාලයක් රඳවාගත හැක
We notify users about changes to this policy,මෙම ප්‍රතිපත්තියේ වෙනස්කම් පිළිබඳ පරිශීලකයන්ට දැනුම් දේ
We process data to provide analytics and business insights,ව්‍යාපාරික දැනුම් සහ විශ්ලේෂණ සඳහා දත්ත සැකසෙයි
We use data for research and innovation for social good,සමාජ සුභසාධනය සඳහා පර්යේෂණ හා නවෝත්පාදනයට දත්ත භාවිතා කරමු
We collect personal information to provide and improve our services,අපගේ සේවාවන් සැපයීමට සහ වැඩිදියුණු කිරීමට පුද්ගලික දත්ත එකතු කරමු
We receive and store information provided by customers,ගනුදෙනුකරුවන් විසින් ලබාදෙන තොරතුරු අපි ලබාගෙන සුරක්ෂිත කරමු
We automatically collect information about user interactions,පරිශීලක අන්තර්ක්‍රියා පිළිබඳ තොරතුරු ස්වයංක්‍රීයව එකතු කරමු
We use personal data to process orders and deliver products,ඇණවුම් සැකසීමට සහ භාණ්ඩ භාරදීමට දත්ත භාවිතා කරමු
We use data to personalize recommendations and services,නිර්දේශ සහ සේවා පුද්ගලීකරණය සඳහා දත්ත භාවිතා කරමු
We use information to analyze performance and improve services,කාර්ය සාධනය විශ්ලේෂණය කර සේවා වැඩිදියුණු කිරීමට දත්ත භාවිතා කරමු
We use personal data to communicate with customers,ගනුදෙනුකරුවන් සමඟ සන්නිවේදනය කිරීමට දත්ත භාවිතා කරමු
We use data to display relevant advertisements,අදාළ ප්‍රචාරණ පෙන්වීමට දත්ත භාවිතා කරමු
We use personal data to detect and prevent fraud,වංචා හඳුනාගෙන වැළැක්වීමට දත්ත භාවිතා කරමු
We may share information with third party service providers,තෙවන පාර්ශව සේවා සපයන්නන් සමඟ දත්ත බෙදාගත හැක
We do not sell customer personal information,ගනුදෙනුකරුවන්ගේ පුද්ගලික දත්ත විකිණෙන්නේ නැත
We share information to comply with legal obligations,නීතිමය බැඳීම් පිළිපැදීමට දත්ත බෙදාගනිමු
We use encryption to protect data during transmission,දත්ත ප්‍රේෂණයේදී සංකේතනය භාවිතා කර ආරක්ෂා කරමු
We maintain safeguards for data security and privacy,දත්ත ආරක්ෂාව සඳහා ආරක්ෂණ ක්‍රියාමාර්ග පවත්වාගෙන යයි
Users can access and update their account information,පරිශීලකයන්ට තම ගිණුම් තොරතුරු ප්‍රවේශ කර යාවත්කාලීන කළ හැක
Users can control communication preferences,සන්නිවේදන අභිරුචි පාලනය කළ හැක
Users can manage advertising preferences,ප්‍රචාරණ අභිරුචි පාලනය කළ හැක
We retain information as required for legal or operational purposes,නීතිමය හෝ මෙහෙයුම් අවශ්‍යතා සඳහා දත්ත රඳවා තබාගනිමු
We may transfer data during business transactions,ව්‍යාපාරික ගනුදෙනු වලදී දත්ත මාරු කළ හැක
Children personal data is collected only with parental consent,ළමා දත්ත මාපිය අනුමැතියෙන් පමණක් එකතු කරනු ලැබේ
We collect personal information to operate and manage the platform,වේදිකාව ක්‍රියාත්මක කිරීමට සහ කළමනාකරණය කිරීමට පුද්ගලික දත්ත එකතු කරමු
Personal information may be provided directly by users,පරිශීලකයන් විසින් පුද්ගලික තොරතුරු සෘජුව ලබාදිය හැක
We automatically collect data about browsing and transaction activities,සෙවීම සහ ගනුදෙනු ක්‍රියාකාරකම් පිළිබඳ දත්ත ස්වයංක්‍රීයව එකතු කරමු
We may receive personal data from third party services,තෙවන පාර්ශව සේවාවන්ගෙන් දත්ත ලබාගත හැක
We use personal data to verify user accounts and identity,ගිණුම් සහ හැඳුනුම් සත්‍යාපනය සඳහා දත්ත භාවිතා කරමු
We use information to process transactions and payments,ගනුදෙනු සහ ගෙවීම් සැකසීමට දත්ත භාවිතා කරමු
We use data to provide customer service and resolve disputes,පැමිණිලි සහ විවාද විසඳීමට දත්ත භාවිතා කරමු
We use data for fraud detection and risk assessment,වංචා හඳුනාගැනීම සහ අවදානම් ඇගයීම සඳහා දත්ත භාවිතා කරමු
We may share information with service providers and partners,සේවා සපයන්නන් සහ හවුල්කරුවන් සමඟ දත්ත බෙදාගත හැක
We share data with logistics partners for delivery services,භාරදීම සඳහා ප්‍රවාහන හවුල්කරුවන් සමඟ දත්ත බෙදාගනිමු
We may disclose data to comply with legal obligations,නීතිමය අවශ්‍යතා සඳහා දත්ත හෙළි කළ හැක
We retain personal data as long as necessary for business purposes,ව්‍යාපාරික අරමුණු සඳහා අවශ්‍ය කාලය දත්ත රඳවා තබාගනිමු
We may delete or anonymize data when no longer needed,අවශ්‍ය නොවන විට දත්ත මකා දැමීම හෝ අනාමික කිරීම සිදු කරයි
Users have the right to access and correct their personal data,පරිශීලකයන්ට දත්ත ප්‍රවේශ හා නිවැරදි කිරීමේ අයිතිය ඇත
Users may request deletion or restriction of their data,දත්ත මකා දැමීම හෝ සීමා කිරීම ඉල්ලා සිටිය හැක
We use cookies to track usage and improve services,භාවිතය නිරීක්ෂණය කිරීමට සහ සේවා වැඩිදියුණු කිරීමට කුකී භාවිතා කරමු
We implement security measures to protect personal data,පුද්ගලික දත්ත ආරක්ෂා කිරීමට ආරක්ෂණ ක්‍රියාමාර්ග ක්‍රියාත්මක කරයි
We notify users in case of data breaches,දත්ත කඩාවැටීම් සිදු වුවහොත් පරිශීලකයන්ට දැනුම් දේ
We may transfer data across international locations,දත්ත අන්තර්ජාතිකව මාරු කළ හැක
Users may withdraw consent at any time,පරිශීලකයන්ට ඕනෑම වේලාවක අනුමැතිය ඉවත් කළ හැක
We use personal data to verify user eligibility and create accounts,පරිශීලක සුදුසුකම සත්‍යාපනය සහ ගිණුම් සෑදීමට දත්ත භාවිතා කරමු
We process personal information to handle orders and deliver services,ඇණවුම් සහ සේවා සැපයීමට දත්ත සැකසෙයි
We use data to facilitate communication between buyers and sellers,මිලදී ගන්නන් සහ විකුණුම්කරුවන් අතර සන්නිවේදනයට දත්ත භාවිතා කරමු
We use personal data to provide customer support and resolve disputes,ගනුදෙනුකරු සහාය සහ විවාද විසඳීමට දත්ත භාවිතා කරමු
We may access device content such as photos or videos to provide services,සේවා සැපයීමට උපාංග අන්තර්ගත භාවිතා කළ හැක
We use data to recommend products and personalize user experience,නිෂ්පාදන නිර්දේශ සහ පරිශීලක අත්දැකීම පුද්ගලීකරණය සඳහා දත්ත භාවිතා කරමු
We use information for marketing and targeted advertising,ලක්ෂ්‍යගත ප්‍රචාරණ සඳහා දත්ත භාවිතා කරමු
We use anonymized data for research and machine learning purposes,පර්යේෂණ සහ යන්ත්‍ර ඉගෙනීම සඳහා අනාමික දත්ත භාවිතා කරමු
We process personal data to detect and prevent fraud and abuse,වංචා සහ අනිසි භාවිත හඳුනාගෙන වැළැක්වීමට දත්ත භාවිතා කරමු
We may share personal information with service providers and partners,සේවා සපයන්නන් සහ හවුල්කරුවන් සමඟ දත්ත බෙදාගත හැක
We disclose data to comply with legal obligations and regulations,නීතිමය බැඳීම් සඳහා දත්ත හෙළි කළ හැක
We may transfer data internationally to support global operations,ගෝලීය මෙහෙයුම් සඳහා දත්ත අන්තර්ජාතිකව මාරු කළ හැක
We retain personal information as long as necessary for business needs,ව්‍යාපාරික අවශ්‍යතා සඳහා දත්ත රඳවා තබාගනිමු
We delete or anonymize data when it is no longer required,අවශ්‍ය නොවන විට දත්ත මකා දැමීම හෝ අනාමික කිරීම සිදු කරයි
"Users have the right to access, correct and delete their data","පරිශීලකයන්ට දත්ත ප්‍රවේශ, නිවැරදි කිරීම සහ මකා දැමීමේ අයිතිය ඇත"
Users can object to data processing and request restriction,දත්ත සැකසීමට විරුද්ධ වීමට සහ සීමා ඉල්ලා සිටිය හැක
Users may opt out of marketing communications at any time,වෙළඳ ප්‍රචාරණයෙන් ඕනෑම වේලාවක ඉවත් විය හැක
We implement security measures to protect personal information,පුද්ගලික දත්ත ආරක්ෂා කිරීමට ආරක්ෂණ ක්‍රියාමාර්ග ක්‍රියාත්මක කරයි
We update this privacy policy in response to legal or business changes,නීතිමය හෝ ව්‍යාපාරික වෙනස්කම් අනුව ප්‍රතිපත්තිය යාවත්කාලීන කරයි
We collect and use personal data to provide and improve our services,අපගේ සේවාවන් සැපයීමට සහ වැඩිදියුණු කිරීමට පුද්ගලික දත්ත භාවිතා කරමු
"We process personal data based on contract, consent or legal obligations","දත්ත ගිවිසුම, අනුමැතිය හෝ නීතිමය බැඳීම් මත සැකසෙයි"
We use personal data to manage subscriptions and payments,දායකත්ව සහ ගෙවීම් කළමනාකරණයට දත්ත භාවිතා කරමු
We rely on legitimate interests to prevent fraud and improve services,වංචා වැළැක්වීමට සහ සේවා වැඩිදියුණු කිරීමට සාධාරණ රුචිය භාවිතා කරමු
Users have the right to access and control their personal data,පරිශීලකයන්ට තම දත්ත පාලනය සහ ප්‍රවේශ අයිතිය ඇත
Users may request correction or deletion of their data,දත්ත නිවැරදි කිරීම හෝ මකා දැමීම ඉල්ලා සිටිය හැක
Users can request data portability to another service provider,දත්ත වෙනත් සේවාවකට මාරු කිරීමට ඉල්ලා සිටිය හැක
We may transfer personal data across international borders,දත්ත අන්තර්ජාතිකව මාරු කළ හැක
We retain personal data only as long as necessary for processing purposes,අවශ්‍ය කාලය තුළ පමණක් දත්ත රඳවා තබාගනිමු
We may anonymize or aggregate data when no longer needed,අවශ්‍ය නොවන විට දත්ත අනාමික හෝ සංග්‍රහ කරයි
We use machine learning to improve services and recommendations,සේවා සහ නිර්දේශ වැඩිදියුණු කිරීමට යන්ත්‍ර ඉගෙනීම භාවිතා කරමු
We ensure security and integrity of personal data through safeguards,ආරක්ෂණ ක්‍රියාමාර්ග මගින් දත්ත ආරක්ෂා කරයි
We use cookies and tracking technologies to enhance user experience,පරිශීලක අත්දැකීම වැඩිදියුණු කිරීමට කුකී භාවිතා කරමු
We may disclose personal data when required by law,නීතියෙන් අවශ්‍ය නම් දත්ත හෙළි කළ හැක
We verify user identity before processing sensitive requests,සංවේදී ඉල්ලීම් සඳහා හැඳුනුම් සත්‍යාපනය සිදු කරයි
We may use third party service providers to process data,දත්ත සැකසීමට තෙවන පාර්ශව භාවිතා කළ හැක
We do not discriminate against users for exercising their rights,අයිතිවාසිකම් භාවිතා කිරීම නිසා වෙනස්කම් නොකරයි
We may update this policy and notify users of significant changes,ප්‍රතිපත්තිය යාවත්කාලීන කර වෙනස්කම් දැනුම් දේ
We collect personal information from online and in store interactions,අන්තර්ජාල සහ වෙළඳසැල් අන්තර්ක්‍රියා වලින් පුද්ගලික දත්ත එකතු කරමු
"We collect identifiers such as name, address and contact details","නම, ලිපිනය සහ සම්බන්ධතා දත්ත වැනි හඳුනාගැනීම් එකතු කරමු"
